x,m,y,n,z,p,w
SYSTEM,SYSTEM,BuilderPatternPerson,main,Person$PersonBuilder:1,address,Person:1
SYSTEM,SYSTEM,BuilderPatternPerson,main,Person$PersonBuilder:1,age,Person:1
SYSTEM,SYSTEM,BuilderPatternPerson,main,Person$PersonBuilder:1,build,Person:1
SYSTEM,SYSTEM,BuilderPatternPerson,main,Person$PersonBuilder:1,Person$PersonBuilder,Person:1
SYSTEM,SYSTEM,BuilderPatternPerson,main,Person$PersonBuilder:1,phone,Person:1
SYSTEM,SYSTEM,BuilderPatternPerson,main,Person$PersonBuilder:2,age,Person:2
SYSTEM,SYSTEM,BuilderPatternPerson,main,Person$PersonBuilder:2,build,Person:2
SYSTEM,SYSTEM,BuilderPatternPerson,main,Person$PersonBuilder:2,Person$PersonBuilder,Person:2
SYSTEM,SYSTEM,BuilderPatternPerson,main,Person$PersonBuilder:2,phone,Person:2
SYSTEM,SYSTEM,BuilderPatternPerson,main,Person$PersonBuilder:3,build,Person:3
SYSTEM,SYSTEM,BuilderPatternPerson,main,Person$PersonBuilder:3,Person$PersonBuilder,Person:3
