x,m,y,y,n,q,w,w,z,t
MementoClient,main,Originator:1,Originator,restore,Originator,Caretaker:1,Caretaker,Memento:2,getState
MementoClient,main,Originator:1,Originator,restore,Originator,Caretaker:1,Caretaker,Memento:2,getState
MementoClient,main,Originator:1,Originator,restore,Originator,Caretaker:1,Caretaker,Memento:2,getState
MementoClient,main,Originator:1,Originator,restore,restore,Caretaker:1,Caretaker,Memento:2,getState
MementoClient,main,Originator:1,Originator,restore,restore,Caretaker:1,Caretaker,Memento:2,getState
MementoClient,main,Originator:1,Originator,restore,restore,Caretaker:1,Caretaker,Memento:2,getState
MementoClient,main,Originator:1,Originator,restore,save,Caretaker:1,Caretaker,Memento:2,getState
MementoClient,main,Originator:1,Originator,restore,save,Caretaker:1,Caretaker,Memento:2,getState
MementoClient,main,Originator:1,Originator,restore,save,Caretaker:1,Caretaker,Memento:2,getState
MementoClient,main,Originator:1,Originator,restore,setState,Caretaker:1,Caretaker,Memento:2,getState
MementoClient,main,Originator:1,Originator,restore,setState,Caretaker:1,Caretaker,Memento:2,getState
MementoClient,main,Originator:1,Originator,restore,setState,Caretaker:1,Caretaker,Memento:2,getState
MementoClient,main,Originator:1,Originator,save,Originator,Caretaker:1,Caretaker,Memento:1,Memento
MementoClient,main,Originator:1,Originator,save,Originator,Caretaker:1,Caretaker,Memento:2,Memento
MementoClient,main,Originator:1,Originator,save,Originator,Caretaker:1,Caretaker,Memento:1,Memento
MementoClient,main,Originator:1,Originator,save,Originator,Caretaker:1,Caretaker,Memento:2,Memento
MementoClient,main,Originator:1,Originator,save,Originator,Caretaker:1,Caretaker,Memento:1,Memento
MementoClient,main,Originator:1,Originator,save,Originator,Caretaker:1,Caretaker,Memento:2,Memento
MementoClient,main,Originator:1,Originator,save,restore,Caretaker:1,Caretaker,Memento:1,Memento
MementoClient,main,Originator:1,Originator,save,restore,Caretaker:1,Caretaker,Memento:2,Memento
MementoClient,main,Originator:1,Originator,save,restore,Caretaker:1,Caretaker,Memento:1,Memento
MementoClient,main,Originator:1,Originator,save,restore,Caretaker:1,Caretaker,Memento:2,Memento
MementoClient,main,Originator:1,Originator,save,restore,Caretaker:1,Caretaker,Memento:1,Memento
MementoClient,main,Originator:1,Originator,save,restore,Caretaker:1,Caretaker,Memento:2,Memento
MementoClient,main,Originator:1,Originator,save,save,Caretaker:1,Caretaker,Memento:1,Memento
MementoClient,main,Originator:1,Originator,save,save,Caretaker:1,Caretaker,Memento:2,Memento
MementoClient,main,Originator:1,Originator,save,save,Caretaker:1,Caretaker,Memento:1,Memento
MementoClient,main,Originator:1,Originator,save,save,Caretaker:1,Caretaker,Memento:2,Memento
MementoClient,main,Originator:1,Originator,save,save,Caretaker:1,Caretaker,Memento:1,Memento
MementoClient,main,Originator:1,Originator,save,save,Caretaker:1,Caretaker,Memento:2,Memento
MementoClient,main,Originator:1,Originator,save,setState,Caretaker:1,Caretaker,Memento:1,Memento
MementoClient,main,Originator:1,Originator,save,setState,Caretaker:1,Caretaker,Memento:2,Memento
MementoClient,main,Originator:1,Originator,save,setState,Caretaker:1,Caretaker,Memento:1,Memento
MementoClient,main,Originator:1,Originator,save,setState,Caretaker:1,Caretaker,Memento:2,Memento
MementoClient,main,Originator:1,Originator,save,setState,Caretaker:1,Caretaker,Memento:1,Memento
MementoClient,main,Originator:1,Originator,save,setState,Caretaker:1,Caretaker,Memento:2,Memento
