x,m,y,n,y,n,z,p,z,p,y,q,y,q,z,y,z
GumballMachineTestDrive,main,GumballMachine:1,ejectQuarter,GumballMachine:1,ejectQuarter,HasQuarterState:1,ejectQuarter,HasQuarterState:1,ejectQuarter,GumballMachine:1,getNoQuarterState,GumballMachine:1,getHasQuarterState,HasQuarterState:1,GumballMachine:1,HasQuarterState:1
GumballMachineTestDrive,main,GumballMachine:1,ejectQuarter,GumballMachine:1,ejectQuarter,HasQuarterState:1,ejectQuarter,HasQuarterState:1,ejectQuarter,GumballMachine:1,setState,GumballMachine:1,getHasQuarterState,HasQuarterState:1,GumballMachine:1,HasQuarterState:1
GumballMachineTestDrive,main,GumballMachine:1,insertQuarter,GumballMachine:1,insertQuarter,NoQuarterState:1,insertQuarter,NoQuarterState:1,insertQuarter,GumballMachine:1,getHasQuarterState,GumballMachine:1,getNoQuarterState,NoQuarterState:1,GumballMachine:1,NoQuarterState:1
GumballMachineTestDrive,main,GumballMachine:1,insertQuarter,GumballMachine:1,insertQuarter,NoQuarterState:1,insertQuarter,NoQuarterState:1,insertQuarter,GumballMachine:1,setState,GumballMachine:1,getNoQuarterState,NoQuarterState:1,GumballMachine:1,NoQuarterState:1
GumballMachineTestDrive,main,GumballMachine:1,turnCrank,GumballMachine:1,turnCrank,HasQuarterState:1,turnCrank,HasQuarterState:1,turnCrank,GumballMachine:1,getSoldState,GumballMachine:1,getHasQuarterState,HasQuarterState:1,GumballMachine:1,HasQuarterState:1
GumballMachineTestDrive,main,GumballMachine:1,turnCrank,GumballMachine:1,turnCrank,HasQuarterState:1,turnCrank,HasQuarterState:1,turnCrank,GumballMachine:1,setState,GumballMachine:1,getHasQuarterState,HasQuarterState:1,GumballMachine:1,HasQuarterState:1
GumballMachineTestDrive,main,GumballMachine:1,turnCrank,GumballMachine:1,turnCrank,SoldState:1,dispense,SoldState:1,dispense,GumballMachine:1,getCount,GumballMachine:1,getSoldState,SoldState:1,GumballMachine:1,SoldState:1
GumballMachineTestDrive,main,GumballMachine:1,turnCrank,GumballMachine:1,turnCrank,SoldState:1,dispense,SoldState:1,dispense,GumballMachine:1,getNoQuarterState,GumballMachine:1,getSoldState,SoldState:1,GumballMachine:1,SoldState:1
GumballMachineTestDrive,main,GumballMachine:1,turnCrank,GumballMachine:1,turnCrank,SoldState:1,dispense,SoldState:1,dispense,GumballMachine:1,getSoldOutState,GumballMachine:1,getSoldState,SoldState:1,GumballMachine:1,SoldState:1
GumballMachineTestDrive,main,GumballMachine:1,turnCrank,GumballMachine:1,turnCrank,SoldState:1,dispense,SoldState:1,dispense,GumballMachine:1,releaseBall,GumballMachine:1,getSoldState,SoldState:1,GumballMachine:1,SoldState:1
GumballMachineTestDrive,main,GumballMachine:1,turnCrank,GumballMachine:1,turnCrank,SoldState:1,dispense,SoldState:1,dispense,GumballMachine:1,setState,GumballMachine:1,getSoldState,SoldState:1,GumballMachine:1,SoldState:1
