x,m,y,y,z,z,p,q,w
MailClientVisitorTest,main,OperaMailClient:1,OperaMailClient,LinuxMailClientVisitor:1,LinuxMailClientVisitor,accept,visit,SquirrelMailClient:1
MailClientVisitorTest,main,OperaMailClient:1,OperaMailClient,LinuxMailClientVisitor:1,LinuxMailClientVisitor,accept,visit,ZimbraMailClient:1
MailClientVisitorTest,main,OperaMailClient:1,OperaMailClient,MacMailClientVisitor:1,MacMailClientVisitor,accept,visit,SquirrelMailClient:1
MailClientVisitorTest,main,OperaMailClient:1,OperaMailClient,MacMailClientVisitor:1,MacMailClientVisitor,accept,visit,ZimbraMailClient:1
MailClientVisitorTest,main,OperaMailClient:1,OperaMailClient,WindowsMailClientVisitor:1,WindowsMailClientVisitor,accept,visit,SquirrelMailClient:1
MailClientVisitorTest,main,OperaMailClient:1,OperaMailClient,WindowsMailClientVisitor:1,WindowsMailClientVisitor,accept,visit,ZimbraMailClient:1
MailClientVisitorTest,main,SquirrelMailClient:1,SquirrelMailClient,LinuxMailClientVisitor:1,LinuxMailClientVisitor,accept,visit,OperaMailClient:1
MailClientVisitorTest,main,SquirrelMailClient:1,SquirrelMailClient,LinuxMailClientVisitor:1,LinuxMailClientVisitor,accept,visit,ZimbraMailClient:1
MailClientVisitorTest,main,SquirrelMailClient:1,SquirrelMailClient,MacMailClientVisitor:1,MacMailClientVisitor,accept,visit,OperaMailClient:1
MailClientVisitorTest,main,SquirrelMailClient:1,SquirrelMailClient,MacMailClientVisitor:1,MacMailClientVisitor,accept,visit,ZimbraMailClient:1
MailClientVisitorTest,main,SquirrelMailClient:1,SquirrelMailClient,WindowsMailClientVisitor:1,WindowsMailClientVisitor,accept,visit,OperaMailClient:1
MailClientVisitorTest,main,SquirrelMailClient:1,SquirrelMailClient,WindowsMailClientVisitor:1,WindowsMailClientVisitor,accept,visit,ZimbraMailClient:1
MailClientVisitorTest,main,ZimbraMailClient:1,ZimbraMailClient,LinuxMailClientVisitor:1,LinuxMailClientVisitor,accept,visit,OperaMailClient:1
MailClientVisitorTest,main,ZimbraMailClient:1,ZimbraMailClient,LinuxMailClientVisitor:1,LinuxMailClientVisitor,accept,visit,SquirrelMailClient:1
MailClientVisitorTest,main,ZimbraMailClient:1,ZimbraMailClient,MacMailClientVisitor:1,MacMailClientVisitor,accept,visit,OperaMailClient:1
MailClientVisitorTest,main,ZimbraMailClient:1,ZimbraMailClient,MacMailClientVisitor:1,MacMailClientVisitor,accept,visit,SquirrelMailClient:1
MailClientVisitorTest,main,ZimbraMailClient:1,ZimbraMailClient,WindowsMailClientVisitor:1,WindowsMailClientVisitor,accept,visit,OperaMailClient:1
MailClientVisitorTest,main,ZimbraMailClient:1,ZimbraMailClient,WindowsMailClientVisitor:1,WindowsMailClientVisitor,accept,visit,SquirrelMailClient:1
